filename,source_url,owner,retrieval_date,license_terms,public_redistribution,internal_presentation_use,notes
docs/assets/openai/wafer.jpg,https://images.ctfassets.net/kftzwdyauwt9/4AoGW0ZsC0SxSCXYRBEwnj/fa523eda9466c6dd401e38c6c0396906/openai-broadcom-jalapeno-inference-chip-image.png,OpenAI,2026-08-07,OpenAI 공식 발표 이미지 (별도 라이선스 미표기),불명확 — private repo 한정 권장,예 (출처 표기 인용),"원본 3840x2161 PNG를 1600px JPEG로 축소. alt: OpenAI and Broadcom leaders display the Jalapeño inference chip. 발표일 2026-06-24"
docs/assets/anthropic/job-posting-full.png,https://job-boards.greenhouse.io/anthropic/jobs/5231612008,Anthropic,2026-08-07,공개 채용 페이지 캡처,불명확 — private repo 한정 권장,예 (출처 표기 인용),"headless Chrome 1440px 캡처. 공고 LIVE 확인"
docs/assets/anthropic/job-posting-title.png,https://job-boards.greenhouse.io/anthropic/jobs/5231612008,Anthropic,2026-08-07,공개 채용 페이지 캡처,불명확 — private repo 한정 권장,예,"상단 타이틀 영역 크롭 (슬라이드 14용)"
docs/assets/oh-my-cli/repo-overview.png,https://github.com/qwen-code-dev-bot/oh-my-cli,qwen-code-dev-bot (Apache-2.0),2026-08-07,저장소 Apache-2.0 / GitHub UI 캡처,private repo 한정 권장,예,"644 stars·676 commits 시점"
docs/assets/oh-my-cli/issue-546.png,https://github.com/qwen-code-dev-bot/oh-my-cli/issues/546,qwen-code-dev-bot,2026-08-07,GitHub UI 캡처,private repo 한정 권장,예,"agent 전체 lifecycle 사례"
docs/assets/oh-my-cli/pr-547.png,https://github.com/qwen-code-dev-bot/oh-my-cli/pull/547,qwen-code-dev-bot,2026-08-07,GitHub UI 캡처,private repo 한정 권장,예,"+486 lines/8 files·CI green 사례"
docs/assets/qwen-mm/architecture.svg,https://github.com/QwenLM/Qwen-MM-Plugins,QwenLM (Apache-2.0),2026-08-07,Apache-2.0,예 (라이선스 고지 유지),예,"공식 architecture 그림"
docs/assets/qwen-mm/blender-viewport.png,https://github.com/QwenLM/Qwen-MM-Plugins,QwenLM (Apache-2.0),2026-08-07,Apache-2.0,예,예,"blender capability 예시"
docs/assets/qwen-mm/freecad-bracket-iso.png,https://github.com/QwenLM/Qwen-MM-Plugins,QwenLM (Apache-2.0),2026-08-07,Apache-2.0,예,예,"freecad capability 예시"
docs/assets/qwen/fig0-performance.png,https://qianwen-res.oss-cn-beijing.aliyuncs.com/Qwen3.8/performance.png,Qwen Team (Alibaba),2026-08-07,공식 발표 이미지 (라이선스 미표기),불명확 — private repo 한정 권장,예 (출처 표기 인용),"headline benchmark chart, 1400px 축소본"
docs/assets/qwen/fig1-env-scaling.png,https://qianwen-res.oss-cn-beijing.aliyuncs.com/Qwen3.8/work_showcases/training-score-vs-envs-scale.png,Qwen Team (Alibaba),2026-08-07,공식 발표 이미지,불명확 — private repo 한정 권장,예,"Fig 1: RL env scaling. SFT 0.474 → 0.725 @4000 envs"
docs/assets/qwen/fig2-cross-harness.png,https://qianwen-res.oss-cn-beijing.aliyuncs.com/Qwen3.8/work_showcases/harness-generalization-3.8.png,Qwen Team (Alibaba),2026-08-07,공식 발표 이미지,불명확 — private repo 한정 권장,예,"Fig 2: cross-harness generalization"
docs/assets/oh-my-cli/autonomous-run.mp4,https://cloud.video.taobao.com/vod/1h6qXKSnAjXp6lHfSDX1xfKukA0Y5hUUQ73qqUtY4aQ.mp4,Qwen Team (Alibaba),2026-08-07,공식 발표 embedded video (라이선스 미표기),아니오 — private repo 한정,예 (출처 표기 인용),"공식 원본은 HEVC(hvc1)라 Chrome 재생 불가 → avconvert로 H.264 1080p 재인코딩(47MB). HEVC 원본은 research-assets/qwen/ohmycli-video-original-hevc.mp4에 보존. 공개 재배포 권리 불분명하므로 public 전환 시 제거하고 원본 링크로 대체할 것"
(미포함),https://qwen.ai 페이지 내 나머지 영상 5개 (hero 120.6MB / quant 221MB / e-commerce 78MB / multimodal 481.6MB / splash 0.4MB),Qwen Team,2026-08-07,공식 embedded video,아니오,발표 미사용,"50MB 초과 또는 발표 무관으로 미포함. URL은 research-assets/qwen 및 조사 노트에 기록"
docs/assets/chip/eda_agent.html,https://docs.qwenlm.ai/resources/CCoLV_eda_agent_square.html,Qwen Team (Alibaba),2026-08-07,공식 발표 embed (라이선스 미표기),불명확 — private repo 한정 권장,예 (출처 표기 인용),"칩 섹션 공식 iframe embed의 자기완결형 로컬 사본(~9MB, 외부 의존성 없음). 1차 조사에서 video 태그만 탐색해 누락 → 정정. PDF에서는 die 비교 SVG로 대체"
docs/assets/lh-harness/cli-run.jpg,(발표자 로컬 캡처),jayeon.yoo,2026-08-07,본인 캡처 — 제약 없음,예,예,"lh-harness run 명령 실행 터미널. 원본 PNG를 JPEG 85%로 압축"
docs/assets/lh-harness/dashboard.png,http://127.0.0.1:56735/ (발표자 로컬 실행),jayeon.yoo (UI: AMAP-ML LongHorizon-Harness MIT),2026-08-07,본인 실행 화면 캡처 (MIT 프로젝트 UI),예,예,"Round 1 audit 판정·Round 2 Manager가 보이는 프레임"
